epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4065,1.71087,5.30636,0.00847,0.44031,0.12361,0.15582,0.09341,1.5061,7.04255,0.01323,0.000658824,0.000658824,0.000658824
2,95.686,1.7452,3.74727,0.00899,0.41389,0.32013,0.30023,0.14462,1.70891,4.52682,0.01344,0.00131674,0.00131674,0.00131674
3,126.691,1.78982,2.97715,0.01007,0.49233,0.34865,0.35727,0.16395,1.81321,3.1218,0.01622,0.00196586,0.00196586,0.00196586
4,157.514,1.83998,2.59317,0.00994,0.57009,0.40887,0.45162,0.22498,1.70638,2.56652,0.01412,0.0019604,0.0019604,0.0019604
5,188.28,1.86855,2.23521,0.01021,0.53105,0.3962,0.43023,0.19567,1.85141,2.24653,0.01558,0.0019472,0.0019472,0.0019472
6,219.032,1.85605,2.13481,0.01038,0.59857,0.40571,0.45232,0.22472,1.78437,2.22991,0.01675,0.001934,0.001934,0.001934
7,251.563,1.87246,2.04674,0.0103,0.60778,0.47227,0.51513,0.25624,1.65086,1.88281,0.01214,0.0019208,0.0019208,0.0019208
8,286.764,1.85033,1.95081,0.01026,0.55908,0.47544,0.49641,0.24022,1.75101,1.94622,0.01309,0.0019076,0.0019076,0.0019076
9,317.607,1.83272,1.9393,0.00952,0.57244,0.4897,0.50814,0.27116,1.6845,1.83942,0.01361,0.0018944,0.0018944,0.0018944
10,350.033,1.809,1.86384,0.00971,0.64087,0.49762,0.56314,0.28796,1.69139,1.72666,0.01335,0.0018812,0.0018812,0.0018812
11,385.891,1.83933,1.83333,0.00948,0.6185,0.4897,0.55197,0.28858,1.65654,1.67913,0.01151,0.001868,0.001868,0.001868
12,417.382,1.83014,1.78902,0.00947,0.60904,0.47648,0.52285,0.27544,1.74836,1.77803,0.01438,0.0018548,0.0018548,0.0018548
13,448.276,1.79222,1.80126,0.0097,0.62113,0.50396,0.54309,0.2792,1.7448,1.68443,0.01429,0.0018416,0.0018416,0.0018416
14,479.5,1.76734,1.66271,0.00916,0.64076,0.49287,0.56306,0.29333,1.72128,1.58787,0.01299,0.0018284,0.0018284,0.0018284
15,510.795,1.76291,1.64545,0.00923,0.66692,0.5331,0.5974,0.31447,1.67591,1.56023,0.01224,0.0018152,0.0018152,0.0018152
16,542.126,1.81876,1.66535,0.00905,0.70811,0.51506,0.6026,0.33164,1.63083,1.56761,0.01173,0.001802,0.001802,0.001802
17,573.526,1.77913,1.6553,0.00911,0.61731,0.49604,0.54795,0.28277,1.74126,1.66466,0.01255,0.0017888,0.0017888,0.0017888
18,604.91,1.80687,1.70195,0.00928,0.69382,0.52431,0.58873,0.32537,1.65791,1.59878,0.01164,0.0017756,0.0017756,0.0017756
19,635.379,1.74248,1.56674,0.00892,0.63785,0.52456,0.56003,0.29329,1.75574,1.64439,0.01404,0.0017624,0.0017624,0.0017624
20,666.289,1.77633,1.58041,0.00908,0.71954,0.54358,0.61325,0.31823,1.67368,1.51879,0.01224,0.0017492,0.0017492,0.0017492
21,697.106,1.70648,1.58653,0.00881,0.66355,0.52197,0.6001,0.31524,1.67548,1.53576,0.01221,0.001736,0.001736,0.001736
22,727.822,1.72859,1.55287,0.00869,0.69679,0.542,0.60057,0.30773,1.71183,1.59012,0.01361,0.0017228,0.0017228,0.0017228
23,758.491,1.737,1.50158,0.0091,0.70408,0.55468,0.634,0.3409,1.69327,1.41595,0.01256,0.0017096,0.0017096,0.0017096
24,789.07,1.7458,1.53719,0.00868,0.73096,0.53566,0.6234,0.32315,1.64105,1.52286,0.01251,0.0016964,0.0016964,0.0016964
25,819.893,1.725,1.49131,0.00918,0.69305,0.55784,0.63271,0.34312,1.64977,1.45004,0.01175,0.0016832,0.0016832,0.0016832
26,850.316,1.67199,1.43825,0.0086,0.71039,0.542,0.62934,0.3409,1.64047,1.47725,0.01175,0.00167,0.00167,0.00167
27,881.237,1.70549,1.44582,0.00849,0.71091,0.55309,0.62273,0.3102,1.74634,1.55108,0.01371,0.0016568,0.0016568,0.0016568
28,911.953,1.68588,1.43741,0.00875,0.74421,0.54834,0.63537,0.35072,1.63829,1.38534,0.01151,0.0016436,0.0016436,0.0016436
29,942.727,1.71121,1.47135,0.00835,0.77544,0.55468,0.6662,0.35784,1.64919,1.35095,0.01164,0.0016304,0.0016304,0.0016304
30,973.383,1.70285,1.4437,0.00849,0.70672,0.55309,0.62788,0.34482,1.60109,1.52106,0.01091,0.0016172,0.0016172,0.0016172
31,1004.36,1.72011,1.39496,0.00884,0.73224,0.53724,0.62293,0.34656,1.63238,1.40042,0.01154,0.001604,0.001604,0.001604
32,1034.86,1.67038,1.38886,0.00848,0.73715,0.57778,0.65022,0.35425,1.65799,1.42897,0.01223,0.0015908,0.0015908,0.0015908
33,1065.79,1.71758,1.39112,0.00867,0.7032,0.58796,0.6527,0.34498,1.69994,1.37956,0.01305,0.0015776,0.0015776,0.0015776
34,1096.49,1.68867,1.379,0.00838,0.70449,0.6038,0.66945,0.3622,1.65802,1.32338,0.01182,0.0015644,0.0015644,0.0015644
35,1127.36,1.67945,1.35126,0.00821,0.76213,0.59429,0.67408,0.37338,1.62199,1.33549,0.01147,0.0015512,0.0015512,0.0015512
36,1157.61,1.67472,1.31873,0.00852,0.72808,0.56013,0.64648,0.35056,1.62812,1.45164,0.01158,0.001538,0.001538,0.001538
37,1188.21,1.65597,1.33235,0.0081,0.67656,0.59008,0.64233,0.33899,1.70163,1.37859,0.01275,0.0015248,0.0015248,0.0015248
38,1218.66,1.67218,1.3187,0.00807,0.68119,0.58162,0.61865,0.32457,1.72096,1.39177,0.01204,0.0015116,0.0015116,0.0015116
39,1250.16,1.67699,1.26305,0.00824,0.75533,0.59746,0.66795,0.35984,1.63758,1.34207,0.01141,0.0014984,0.0014984,0.0014984
40,1281.39,1.66542,1.32374,0.00849,0.71603,0.58796,0.64365,0.34645,1.63725,1.41192,0.01173,0.0014852,0.0014852,0.0014852
41,1312.65,1.68922,1.29814,0.00835,0.70454,0.56577,0.64523,0.3453,1.69571,1.39156,0.01239,0.001472,0.001472,0.001472
42,1343.75,1.66,1.23599,0.00792,0.724,0.58954,0.6622,0.36549,1.5823,1.34166,0.01061,0.0014588,0.0014588,0.0014588
43,1374.86,1.64289,1.2364,0.00829,0.7183,0.57384,0.6628,0.36054,1.65005,1.30886,0.01162,0.0014456,0.0014456,0.0014456
44,1405.65,1.65856,1.22817,0.00794,0.7118,0.58637,0.65872,0.36329,1.63351,1.33035,0.01159,0.0014324,0.0014324,0.0014324
45,1436.69,1.63688,1.21259,0.00807,0.78491,0.58954,0.67408,0.3693,1.64118,1.32008,0.01149,0.0014192,0.0014192,0.0014192
46,1467.55,1.62286,1.23203,0.00792,0.77253,0.56418,0.663,0.37553,1.59564,1.365,0.01148,0.001406,0.001406,0.001406
47,1498.99,1.61739,1.25632,0.0081,0.78031,0.55784,0.67312,0.36564,1.62973,1.36487,0.01202,0.0013928,0.0013928,0.0013928
48,1529.98,1.63825,1.19323,0.0079,0.78076,0.5832,0.67249,0.3802,1.60275,1.32103,0.01117,0.0013796,0.0013796,0.0013796
49,1561,1.6097,1.2153,0.00793,0.75161,0.58985,0.67348,0.37279,1.58588,1.2849,0.01043,0.0013664,0.0013664,0.0013664
50,1592.41,1.61115,1.17415,0.00805,0.72683,0.6149,0.66515,0.37047,1.62714,1.3472,0.01128,0.0013532,0.0013532,0.0013532
51,1623.86,1.60983,1.20402,0.00769,0.75216,0.61082,0.69022,0.38286,1.59396,1.29075,0.01059,0.00134,0.00134,0.00134
52,1655.19,1.58711,1.17445,0.00777,0.78854,0.58507,0.68457,0.38421,1.61251,1.27191,0.01072,0.0013268,0.0013268,0.0013268
53,1686.57,1.6002,1.1697,0.00772,0.76442,0.60063,0.68133,0.37075,1.63362,1.29927,0.01088,0.0013136,0.0013136,0.0013136
54,1718.08,1.63832,1.20029,0.00753,0.7266,0.62282,0.69354,0.38827,1.60456,1.22081,0.01026,0.0013004,0.0013004,0.0013004
55,1749.47,1.60063,1.16601,0.00774,0.73663,0.5984,0.66921,0.37368,1.62661,1.37023,0.01064,0.0012872,0.0012872,0.0012872
56,1780.77,1.59827,1.11355,0.0079,0.76709,0.58458,0.67724,0.36719,1.64275,1.30007,0.01098,0.001274,0.001274,0.001274
57,1812.1,1.63386,1.15776,0.00753,0.68046,0.5771,0.64205,0.3477,1.65933,1.40417,0.0117,0.0012608,0.0012608,0.0012608
58,1843.22,1.60234,1.13945,0.00759,0.77987,0.59746,0.67404,0.37086,1.581,1.3507,0.01025,0.0012476,0.0012476,0.0012476
59,1874.27,1.60364,1.11979,0.0077,0.75344,0.61807,0.6822,0.37804,1.60328,1.26226,0.01087,0.0012344,0.0012344,0.0012344
60,1905.22,1.56047,1.10966,0.00758,0.7454,0.61331,0.68967,0.37828,1.64591,1.27692,0.01143,0.0012212,0.0012212,0.0012212
61,1936.41,1.56027,1.07884,0.0076,0.74397,0.63391,0.68791,0.38949,1.57012,1.28947,0.01007,0.001208,0.001208,0.001208
62,1967.7,1.56386,1.08263,0.00739,0.77069,0.61252,0.69238,0.38107,1.58381,1.26781,0.0106,0.0011948,0.0011948,0.0011948
63,1998.58,1.57485,1.06101,0.00772,0.7252,0.61896,0.68348,0.37799,1.59974,1.26577,0.01061,0.0011816,0.0011816,0.0011816
64,2029.52,1.53349,1.05561,0.00777,0.76423,0.62158,0.69892,0.38518,1.62804,1.24687,0.01067,0.0011684,0.0011684,0.0011684
65,2060.35,1.54736,1.06637,0.00736,0.7443,0.61173,0.68845,0.38584,1.56372,1.28545,0.01071,0.0011552,0.0011552,0.0011552
66,2091.5,1.55977,1.04994,0.00735,0.75763,0.60222,0.67003,0.37371,1.5912,1.31165,0.01088,0.001142,0.001142,0.001142
67,2122.3,1.55671,1.09691,0.00745,0.78552,0.58954,0.67839,0.38777,1.55619,1.28385,0.01022,0.0011288,0.0011288,0.0011288
68,2152.95,1.53393,1.03293,0.00746,0.66768,0.65769,0.68474,0.37159,1.64698,1.26978,0.01113,0.0011156,0.0011156,0.0011156
69,2183.41,1.52398,1.04336,0.00713,0.7706,0.60063,0.68654,0.38988,1.56485,1.2574,0.01031,0.0011024,0.0011024,0.0011024
70,2214.98,1.52182,1.02175,0.00727,0.7666,0.64501,0.69634,0.38885,1.57892,1.25406,0.01014,0.0010892,0.0010892,0.0010892
71,2245.71,1.50877,0.99885,0.00731,0.77458,0.60063,0.69026,0.39095,1.60202,1.22841,0.01026,0.001076,0.001076,0.001076
72,2276.98,1.52722,1.02975,0.00732,0.77876,0.59271,0.69587,0.38585,1.63748,1.30184,0.01126,0.0010628,0.0010628,0.0010628
73,2307.62,1.54225,0.99939,0.00722,0.81617,0.59588,0.69575,0.3901,1.58249,1.25735,0.0103,0.0010496,0.0010496,0.0010496
74,2339.25,1.48642,0.97402,0.00738,0.7729,0.61965,0.68676,0.37815,1.64177,1.27846,0.01116,0.0010364,0.0010364,0.0010364
75,2371.03,1.54408,1.01039,0.00731,0.8045,0.61302,0.70876,0.38812,1.61328,1.26401,0.01046,0.0010232,0.0010232,0.0010232
76,2402.57,1.51363,0.99872,0.00689,0.73694,0.63074,0.69091,0.3917,1.56392,1.28771,0.01013,0.00101,0.00101,0.00101
77,2434.23,1.49612,0.95934,0.00707,0.72728,0.61807,0.68014,0.3836,1.59093,1.3315,0.0103,0.0009968,0.0009968,0.0009968
78,2466.14,1.49452,0.97968,0.0072,0.82234,0.59429,0.69372,0.38505,1.5666,1.2638,0.0103,0.0009836,0.0009836,0.0009836
79,2497.98,1.48363,0.98165,0.00701,0.79084,0.61014,0.70043,0.38596,1.61589,1.23131,0.01087,0.0009704,0.0009704,0.0009704
80,2529.64,1.52644,1.00895,0.00702,0.82093,0.62124,0.70575,0.40355,1.57238,1.22513,0.01062,0.0009572,0.0009572,0.0009572
81,2561.73,1.48547,0.94628,0.00707,0.79391,0.62883,0.70208,0.3938,1.59172,1.24618,0.0101,0.000944,0.000944,0.000944
