epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61159,2.1514,4.50373,0.03502,0.1857,0.16667,0.04499,0.00737,2.66852,5.9501,0.06327,0.00014,0.00014,0.00014
2,9.92743,1.59093,2.74804,0.02496,0.67688,0.88889,0.72146,0.40171,1.21023,1.27895,0.02747,0.0002901,0.0002901,0.0002901
3,13.2777,1.01029,1.02491,0.01488,0.7958,0.86612,0.85469,0.62587,0.84415,1.12693,0.01843,0.00042964,0.00042964,0.00042964
4,18.028,0.88029,0.89581,0.0129,0.9184,0.97222,0.9345,0.73799,0.697,0.66484,0.01467,0.00055862,0.00055862,0.00055862
5,21.1035,0.86195,0.7668,0.01155,0.72184,0.94444,0.87774,0.71648,0.59413,0.58366,0.01275,0.00067704,0.00067704,0.00067704
6,24.103,0.74707,0.5816,0.00936,0.88072,0.86111,0.9044,0.76464,0.57713,0.53524,0.0121,0.0007849,0.0007849,0.0007849
7,29.6411,0.70353,0.60812,0.00867,0.81506,1,0.924,0.80377,0.56186,0.47373,0.01118,0.0008822,0.0008822,0.0008822
8,34.5385,0.65763,0.54792,0.00784,0.91404,0.94444,0.92723,0.80776,0.65263,0.49227,0.01295,0.00096894,0.00096894,0.00096894
9,37.6093,0.62981,0.51448,0.00827,0.87785,0.99817,0.93721,0.79422,0.76874,0.46649,0.01554,0.00104512,0.00104512,0.00104512
10,40.66,0.65767,0.48983,0.00799,0.85211,0.97222,0.93801,0.81917,0.53679,0.40114,0.01046,0.00111074,0.00111074,0.00111074
11,44.58,0.6045,0.51292,0.00748,0.89999,0.99989,0.94405,0.85525,0.5055,0.26455,0.01039,0.0011658,0.0011658,0.0011658
12,48.6864,0.62248,0.51248,0.00732,0.89981,0.99795,0.94825,0.84046,0.49032,0.24424,0.01044,0.0012103,0.0012103,0.0012103
13,51.685,0.62598,0.51567,0.00724,0.92299,0.99883,0.95399,0.85603,0.46563,0.23345,0.00999,0.001208,0.001208,0.001208
14,54.6457,0.56607,0.43584,0.00644,0.8982,0.98052,0.95821,0.8681,0.42214,0.2427,0.00882,0.001142,0.001142,0.001142
15,58.2303,0.53065,0.34498,0.00635,0.94347,1,0.9737,0.87763,0.51431,0.25119,0.0102,0.001076,0.001076,0.001076
16,62.8099,0.57123,0.39036,0.00651,0.94339,1,0.97342,0.89323,0.52449,0.32493,0.0103,0.00101,0.00101,0.00101
17,65.7954,0.56814,0.49133,0.00708,0.9458,1,0.97239,0.90407,0.45183,0.26717,0.00905,0.000944,0.000944,0.000944
18,68.7313,0.53424,0.31786,0.0065,0.94218,0.97222,0.96705,0.89684,0.42879,0.23757,0.00874,0.000878,0.000878,0.000878
19,71.7129,0.54996,0.36592,0.00647,0.91608,1,0.96764,0.90464,0.41717,0.22152,0.00849,0.000812,0.000812,0.000812
20,76.322,0.55787,0.35801,0.00686,0.94408,1,0.97239,0.89984,0.41299,0.21475,0.00845,0.000746,0.000746,0.000746
21,81.8091,0.37747,0.3152,0.00711,0.94424,1,0.97206,0.88976,0.45885,0.2316,0.00966,0.00068,0.00068,0.00068
22,85.1643,0.36498,0.25699,0.00755,0.9433,0.97222,0.97139,0.86542,0.56335,0.25767,0.01262,0.000614,0.000614,0.000614
23,88.6013,0.39713,0.25426,0.00816,0.94534,1,0.975,0.87403,0.49247,0.22514,0.01091,0.000548,0.000548,0.000548
24,92.7578,0.37108,0.2401,0.00715,0.9207,1,0.97238,0.90836,0.39856,0.20802,0.00837,0.000482,0.000482,0.000482
25,95.5755,0.39733,0.24663,0.00772,0.94734,0.9994,0.97763,0.90867,0.35923,0.1902,0.00756,0.000416,0.000416,0.000416
26,98.3302,0.37114,0.21585,0.00731,0.94493,1,0.97643,0.90743,0.35902,0.18559,0.00771,0.00035,0.00035,0.00035
27,101.268,0.3556,0.2388,0.00724,0.94402,0.97222,0.9693,0.89778,0.38055,0.22321,0.00829,0.000284,0.000284,0.000284
28,105.547,0.37264,0.20911,0.00751,0.94387,0.97222,0.97158,0.89686,0.39379,0.22006,0.00861,0.000218,0.000218,0.000218
29,109.048,0.33817,0.24921,0.00651,0.9438,0.97222,0.97356,0.90083,0.39988,0.21783,0.00864,0.000152,0.000152,0.000152
30,111.868,0.34408,0.22133,0.00664,0.94353,0.97222,0.9739,0.90673,0.39953,0.21704,0.00858,8.6e-05,8.6e-05,8.6e-05
